City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition,Date
338,Ermelo,ZA,-26.5333,29.9833,72.18,18,0,10.63,clear sky,2021-10-30 14:58:01
339,Esperance,AU,-33.8667,121.9,55.24,69,0,16.78,clear sky,2021-10-30 14:58:02
340,Blackwater,AU,-23.5833,148.8833,79.34,55,63,1.54,broken clouds,2021-10-30 14:58:02
341,Ihosy,MG,-22.4,46.1167,71.85,59,64,10.07,broken clouds,2021-10-30 14:58:03
342,Beira,MZ,-19.8436,34.8389,80.69,57,20,15.99,few clouds,2021-10-30 14:58:03
343,North Bend,US,43.4065,-124.2243,52.07,96,90,6.91,overcast clouds,2021-10-30 14:58:03
344,Tingo Maria,PE,-9.2895,-76.0088,75.51,78,20,3.44,few clouds,2021-10-30 14:58:04
345,Haines Junction,CA,60.7522,-137.5108,33.75,64,100,6.91,overcast clouds,2021-10-30 14:58:04
346,Lincoln,US,40.8,-96.667,50.14,75,0,1.01,clear sky,2021-10-30 14:54:30
347,Jumla,NP,29.2747,82.1838,45.72,87,4,3.62,clear sky,2021-10-30 14:58:05
348,Norman Wells,CA,65.282,-126.8329,19.44,93,90,2.3,light snow,2021-10-30 14:58:05
349,Suclayin,PH,15.7568,121.5503,77.11,90,98,8.63,overcast clouds,2021-10-30 14:58:06
350,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,98.46,31,17,6.55,few clouds,2021-10-30 14:53:13
351,Ikalamavony,MG,-21.15,46.5833,76.14,51,71,5.46,broken clouds,2021-10-30 14:58:06
352,Emirdag,TR,39.0197,31.15,53.96,52,96,4.05,overcast clouds,2021-10-30 14:58:06
353,Shwebo,MM,22.5667,95.7,77.54,79,30,3.29,scattered clouds,2021-10-30 14:58:07
354,Muisne,EC,0.6,-80.0333,75.31,70,67,7.96,broken clouds,2021-10-30 14:58:07
355,Abashiri,JP,44.0213,144.2697,38.95,79,58,8.41,broken clouds,2021-10-30 14:58:07
356,Wau,SS,7.7029,27.9953,82.35,56,99,4.94,light rain,2021-10-30 14:58:08
357,Plouzane,FR,48.3833,-4.6167,57.52,67,75,16.11,broken clouds,2021-10-30 14:58:08
358,San Isidro,PE,-12.1167,-77.05,65.25,41,90,1.99,overcast clouds,2021-10-30 14:58:08
359,Roald,NO,62.5833,6.1333,55.45,66,0,5.75,clear sky,2021-10-30 14:58:09
360,Namatanai,PG,-3.6667,152.4333,79.29,82,68,7.92,moderate rain,2021-10-30 14:58:09
361,Areosa,PT,41.7178,-8.8571,68.23,83,99,10.27,overcast clouds,2021-10-30 14:58:10
362,Sambava,MG,-14.2667,50.1667,76.28,82,15,10.85,few clouds,2021-10-30 14:58:10
363,Vao,NC,-22.6667,167.4833,70.54,75,21,8.5,few clouds,2021-10-30 14:58:10
364,Bhadrachalam,IN,17.6667,80.8833,76.24,89,99,2.64,overcast clouds,2021-10-30 14:58:11
365,Mount Gambier,AU,-37.8333,140.7667,40.91,93,75,0.0,broken clouds,2021-10-30 14:57:49
366,Yanliang,CN,34.6592,109.2292,58.19,56,97,1.39,overcast clouds,2021-10-30 14:58:11
367,Dauphin,CA,51.1494,-100.0502,33.94,83,1,9.22,clear sky,2021-10-30 14:58:12
